52,4TH AVE,E OF 6TH ST,3419,3194,6307,4668,5742,4921,5285,4610,5667,8756,6152
53,6TH ST,N OF CENTRAL WAY,8574,7805,8326,8208,8444,7737,8347,9396,8447,8745,7468
54,6TH ST,S OF CENTRAL WAY,9080,,10301,11051,11152,10291,12002,8547,12772,12394,12538
55,6TH ST,S OF KIRKLAND WAY,7215,6508,7326,9208,9837,7738,12305,7807,7517,7942,7974
56,6TH ST,N OF 7TH AVE,5448,4571,5605,5434,4963,4288,4428,4870,5602,5003,4420
57,6TH ST S,N OF NE 68TH ST,11033,8762,11076,10938,12005,10422,10858,10279,10637,11101,11087
58,7TH AVE,E OF MARKET ST,3830,3756,3295,,,,,2102,2479,3057,2458
59,7TH AVE,E OF 4TH ST,4929,4613,5181,4865,4215,3602,3784,3439,3183,3467,3223
60,15TH AVE,E OF MARKET ST,801,,791,,,,,761,1043,976,801
61,18TH AVE,E OF MARKET ST,1522,,1903,,,,,,,,
62,NE 38TH PL,E OF LAKE WASH BLVD,2818,2675,3536,3246,3204,3052,3283,3154,4158,3609,3310
63,NE 52ND ST,E OF LAKE WASH BLVD,621,577,814,,,,,580,,693,734
64,NE 52ND ST,W OF 108TH AVE NE,771,668,1023,,,,,732,835,725,835
65,NE 52ND ST,E OF 108TH AVE NE,,711,887,,,,,423,360,386,
66,NE 53RD ST,E OF 108TH AVE NE,2278,2354,2762,,,,,2309,3021,2605,2906
67,NE 60TH ST,E OF 108TH AVE NE,957,1061,1172,,,,,795,1778,2144,983
68,NE 60TH ST,W OF 108TH AVE NE,787,783,986,,,,,797,953,915,871
69,NE 60TH ST,E OF 116TH AVE NE,,,,,,,,3196,3618,3518,3268
70,NE 60TH ST,W OF 132ND AVE NE,2734,2439,2889,,,,,2891,3001,2944,2876
71,NE 68TH ST,E OF STATE ST,10929,8576,10532,11538,11648,11209,11392,9844,10971,10951,11107
72,NE 68TH ST,W OF STATE ST,8669,7122,9147,9314,9702,9492,9039,8573,9712,9256,9037
73,NE 68TH ST,E OF 108TH AVE NE,16651,14499,17326,16441,18668,16870,17020,16876,17276,18296,18715
74,NE 68TH ST,W OF 108TH AVE NE,10929,9322,11483,12194,12798,12043,12146,11613,13256,13986,12185
75,NE 70TH ST,W OF I-405 SB OFF R,18007,19262,19555,19733,20034,18551,18890,17693,18895,19146,18890
76,NE 70TH PL,E OF 116TH AVE NE,12704,11769,13868,13876,14447,12990,13516,13910,14478,15248,16281
77,NE 70TH PL,W OF 116TH AVE NE,19329,17469,20828,20326,21457,20179,19395,19953,19267,22047,21194
78,NE 70TH ST,E OF 122ND AVE NE,12211,11564,13529,12914,14387,12516,13047,13112,14018,14631,16055
79,NE 70TH ST,W OF 122ND AVE NE,12370,11452,13259,12758,14416,13017,13152,12926,13999,14646,16381
80,NE 70TH ST,W OF 132ND AVE NE,11124,10358,12041,11393,13031,11911,11455,10823,14161,13361,13544
81,NE 70TH ST,E OF 132ND AVE NE,12101,11742,,,,,,,,,
82,NE 80TH ST,E OF 120TH AVE NE,7580,6788,8346,6983,9718,7867,6251,6572,7783,6761,7532
83,NE 80TH ST,W OF 120TH AVE NE,7242,6212,7460,6496,7695,7448,5320,5968,7300,6823,6922
84,NE 80TH ST,E OF 124TH AVE NE,5052,4820,6335,5246,8894,5727,4666,5506,6264,4699,6179
85,NE 80TH ST,W OF 132ND AVE NE,3875,3665,5037,4000,6649,3941,3292,4052,4769,4092,4900
86,NE 85TH ST,E OF 114TH AVE NE,42523,43838,42807,40051,44485,41401,44552,40743,45060,44178,44843
87,NE 85TH ST,W OF 120TH AVE NE,42030,38689,42169,43018,41026,44334,46098,44454,44957,44950,48447
88,NE 85TH ST,W OF 122ND AVE NE,,35536,,,,,,,,,
89,NE 85TH ST,E OF 124TH AVE NE,30699,27859,30711,32593,28550,33589,36181,36493,35023,38517,38523
90,NE 85TH ST,W OF 124TH AVE NE,32590,31667,34145,34004,31498,35610,37457,37100,39454,39709,41068
91,NE 85TH ST,E OF 126TH AVE NE,29449,28808,,,,,,,,,
92,NE 85TH ST,W OF 126TH AVE NE,30699,29134,,,,,,,,,
93,NE 85TH ST,E OF 132ND AVE NE,32495,30213,36066,33391,31840,34831,35682,35536,33868,38419,37274
94,NE 85TH ST,W OF 132ND AVE NE,28254,28568,30444,29652,32317,32223,33261,34389,33811,35511,36233
95,NE 87TH ST,E OF 112TH AVE,6034,6175,7042,,,,,,,,
96,NE 90TH ST,E OF 124TH AVE NE,929,822,1590,1140,2043,983,763,790,711,712,838
97,NE 90TH ST,W OF 124TH AVE NE,5954,5412,5710,5819,7706,6424,4535,4205,4759,4946,4765
98,84TH AVE NE,N OF NE 145TH ST,,,3363,,,2163,2272,,,,
99,84TH AVE NE,S OF NE 145TH ST,2743,2824,,2718,2579,2580,2830,,,,
100,84TH AVE NE,S OF NE 141ST ST,3213,,,4007,3763,3925,3855,,,,
101,84TH AVE NE,N OF NE 132ND ST,1995,2014,2331,,,,,,,,
102,84TH AVE NE,S OF NE 132ND ST,2797,1407,3509,2859,2703,2967,3174,,,,
103,84TH AVE NE,N OF NE 124TH ST,2141,1990,2536,,,,,,,,
104,88TH AVE NE,S OF NE 145TH ST,1673,1431,1714,1591,1620,1488,1608,,,,
105,90TH AVE NE,N OF NE 134TH ST,4881,3765,4793,4261,4247,4213,4547,,,,
106,92ND AVE NE,S OF SIMONDS ROAD,4000,4408,,,,,,,,,
107,93RD AVE NE,N OF JUANITA DR,1719,1518,1929,1894,1710,1612,1337,1193,1524,1666,2027
108,NE 95TH ST,E OF 124TH AVE NE,1374,1179,1418,1273,1504,1107,1039,1170,1121,1091,1108
109,NE 95TH ST,W OF 132ND AVE NE,1059,894,1170,1026,1245,792,775,1032,1015,1029,1017
110,97TH AVE NE,N OF JUANITA DR,3219,3504,3627,4340,4354,4381,4254,3520,3776,3075,2980
111,98TH AVE NE,N OF NE 116TH ST,14277,14380,16185,16390,17535,15938,14657,14572,17246,16511,15498
112,98TH AVE NE,S OF NE 116TH ST,18373,16542,20353,20487,21810,19186,18019,17557,19956,20332,19604
113,98TH AVE NE,N OF NE 120TH PL,16560,15888,18148,18336,20485,19117,17878,17017,20898,18941,17452
114,NE 100TH ST,E OF 132ND AVE NE,1342,1448,1015,976,,,,,,,
115,NE 100TH ST,W OF 132ND AVE NE,2559,2105,3011,2705,2640,2033,1995,2195,2423,2466,2602
116,NE 100TH ST,E OF 124TH AVE NE,3240,2693,3526,3107,3263,2901,2537,2794,3027,2764,2945
117,NE 100TH ST.,W OF 124TH AVE NE,728,692,977,914,830,713,691,694,825,751,869
118,100TH AVE NE,N OF NE 124TH ST,23088,22812,24155,24224,25597,25279,25124,24126,28577,26076,25012
119,100TH AVE NE,S OF NE 124TH ST,18122,18367,20803,20631,22724,20891,20601,19274,21536,20906,19537
120,100TH AVE NE,N OF NE 132ND ST,24800,25649,29319,29427,32280,29915,25631,29160,29162,29110,29284
121,100TH AVE NE,S OF NE 132ND ST,23435,21634,26398,24575,27989,25195,25903,24689,28246,25754,25409
122,100TH AVE NE,N OF SIMONDS RD,14632,14933,17772,16525,17217,16149,16405,,,,
123,100TH AVE NE,S OF SIMONDS RD,16417,16201,18786,18973,19158,18493,16538,,,,
124,100TH AVE NE,N OF 145TH ST,11607,10495,12061,11604,12859,10948,9964,,,,
125,103RD AVE NE,N OF NE 124TH ST,,553,,,,,,,,,
126,103RD/104TH AVE NE,S OF NE 124TH ST,928,1196,,,,,,,,,
127,NE 104TH ST,E OF 124TH AVE NE,1127,866,907,1021,1086,1102,1004,956,889,919,807
128,104TH AVE NE,N OF NE 116TH ST,918,863,1065,969,981,919,915,1056,969,961,1172
129,108TH AVE NE,N OF CITY LIMITS,8584,6928,10122,9605,9351,7986,8732,10036,9278,9750,8915
130,108TH AVE NE,N OF NE 53RD ST,,,11971,10196,11561,8965,9532,10564,11591,11073,11212
131,108TH AVE NE,S OF NE 53RD ST,10223,7906,11622,9903,10695,9415,8851,9774,10818,10321,10512
132,108TH AVE NE,S OF NE 60TH ST,12665,9040,13217,,,,,,,,
133,108TH AVE NE,N OF NE 60TH ST,10386,9026,12225,10175,11816,9398,9890,11242,12199,11111,12053
134,108TH AVE NE,S OF NE 68TH ST,10785,9285,12563,10591,12147,9743,10188,11276,12698,12072,12842
135,108TH AVE NE,S OF NE 116TH ST,1379,1288,1336,1057,1208,1064,943,958,1210,1116,1491
136,108TH AVE NE,N OF NE 132ND ST,4509,3905,5105,4481,4894,4257,4807,4812,4860,5460,5288
137,108TH AVE NE,S OF JUANITA WOOD.,2430,2288,3096,2769,2880,,,,,,
138,111TH LANE NE,N OF NE 124TH STREET,,1489,,,,,,,,,
139,111TH LANE NE,S OF NE 124TH STREET,,943,,,,,,,,,
140,112TH AVE NE,N OF NE 87TH ST,2088,,2209,,,2393,,2069,2824,2007,2113
141,NE 112TH ST,E OF 108TH AVE NE,1358,1270,1659,,,,,1639,2078,1819,1776
142,NE 112TH ST,E OF 116TH AVE NE,4044,3766,4210,3932,4681,4544,4671,4513,4854,4555,4838
143,NE 112TH ST,W OF 116TH AVE NE,2002,2018,2271,2009,2503,2526,2496,2360,2353,2685,2387
144,NE 112TH ST,W OF 120TH AVE NE,,,,6634,6738,6416,6397,6448,6444,3306,5883
145,113TH PL NE,N OF 124TH ST.,3404,3818,3438,4762,3709,4471,4692,3386,4321,3716,3650
146,113TH AVE NE,S OF NE 124TH ST,3665,3042,4581,4736,4381,4505,4025,3914,3685,4759,4210
147,114TH AVE NE,N OF NE 85TH ST,8809,9228,10077,9777,9979,9457,13122,8334,9918,9480,9064
148,116TH AVE NE,N OF NE 40TH ST,6043,5185,6281,5406,5654,5328,4741,4684,5242,4952,5009
149,116TH AVE NE,N OF NE 60TH ST,6588,6059,7393,6755,6950,6825,6321,5792,6117,6389,6229
150,116TH AVE NE,S OF NE 60TH ST,5278,5325,6480,6161,5973,5565,5069,4802,5450,5076,5169
151,116TH AVE NE,N OF NE 70TH PL,7738,6560,7812,7716,8785,7835,6424,7259,7439,7773,7410
152,116TH AVE NE,S OF NE 70TH PL,14187,13664,16339,15576,18853,16511,15241,16208,16562,17718,16905
153,116TH AVE NE,N OF NE 87TH ST,3901,3788,4233,4007,4091,4010,4069,4071,4116,4229,4516
154,116TH AVE NE,S OF NE 112TH ST,3064,2787,3447,3183,3093,2964,3069,2743,2940,2900,2838
155,116TH AVE NE,N OF NE 124TH ST,15867,15128,16886,17115,17807,16571,16176,15566,11699,16937,14572
156,116TH AVE NE,S OF NE 124TH ST,11046,10896,12484,12387,12879,11079,10438,10679,10767,11095,11294
157,116TH AVE NE,N OF NE 128TH ST,10390,7829,11708,12532,14036,12493,12542,11864,9579,13351,14045
158,116TH AVE NE,S OF NE 128TH ST,16416,15648,16401,17014,17266,16659,15639,15052,10635,15731,15578
159,116TH WAY NE,N OF NE 132ND ST,1729,,1703,1700,1701,1588,1810,1767,1326,1746,2045
160,116TH WAY NE,S OF NE 132ND ST,11815,7782,11602,12658,12863,12159,13164,13405,9388,14357,14218
161,NE 116TH ST,E OF 98TH AVE NE,14571,13931,15835,16714,17097,15024,15175,15387,16170,16458,14546
162,NE 116TH ST,E OF 108TH AVE NE,15764,14923,16987,17576,16828,18648,15350,15798,16237,16865,15414
163,NE 116TH ST,E OF 120TH AVE NE,28957,25667,28270,29060,28839,28279,28133,30636,30321,30200,30083
164,NE 116TH ST,W OF 120TH AVE NE,18893,15895,18232,18102,18566,15019,15895,16975,19836,18463,16742
165,NE 116TH ST,E OF 124TH AVE NE,13963,12765,14657,15421,15706,16751,15911,16605,16924,19606,14802
166,NE 116TH ST,W OF 124TH AVE NE,20185,18482,20500,22045,23552,20635,21181,22847,25028,24112,22627
167,NE 116TH PLACE,W OF JUANITA DRIVE,905,,557,,,377,,,,,
